2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] HANAUSDT | usage=4528.28% | current_oi=45282821.2 | limit=1000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] HBARUSDT | usage=1921.03% | current_oi=23532565.3125 | limit=1225000.0 | threshold=95.00% | source=leverageMargins[1016].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] HEIUSDT | usage=1176.93% | current_oi=7826584.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] HEMIUSDT | usage=61149.58% | current_oi=149816461.0 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] HFTUSDT | usage=35057.38% | current_oi=56968244.0 | limit=162500.0 | threshold=95.00% | source=leverageMargins[1009].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] HIGHUSDT | usage=3175.39% | current_oi=5160011.5 | limit=162500.0 | threshold=95.00% | source=leverageMargins[1009].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] HIPPOUSDT | usage=203862.19% | current_oi=499462357.0 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1032].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] HMSTRUSDT | usage=1939509.98% | current_oi=12897741344.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] HOLOUSDT | usage=6830.44% | current_oi=16734584.5 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] HOMEUSDT | usage=9182.05% | current_oi=91820487.0 | limit=1000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] HOOKUSDT | usage=4320.82% | current_oi=28733446.37 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] HUMAUSDT | usage=67879.54% | current_oi=166304875.0 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] HUSDT | usage=8258.55% | current_oi=20233446.0 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] HYPERUSDT | usage=9597.23% | current_oi=23513202.0 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] ICNTUSDT | usage=2730.54% | current_oi=6689811.5 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] ICXUSDT | usage=18412.46% | current_oi=45110529.0 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] IDOLUSDT | usage=22205.41% | current_oi=54403253.0 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] IDUSDT | usage=2657.36% | current_oi=17671440.500005 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] IMXUSDT | usage=3157.21% | current_oi=5130465.5 | limit=162500.0 | threshold=95.00% | source=leverageMargins[1010].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] INITUSDT | usage=4177.99% | current_oi=10236064.7 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] INUSDT | usage=6956.49% | current_oi=17043396.0 | limit=245000.0 | threshold=95.00% | source=leverageMargins[1012].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] INXUSDT | usage=1818.60% | current_oi=18186005.7 | limit=1000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] IOSTUSDT | usage=689499.39% | current_oi=627444449.0 | limit=91000.0 | threshold=95.00% | source=leverageMargins[1031].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] IOTXUSDT | usage=26397.70% | current_oi=175544721.95 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] IOUSDT | usage=1411.27% | current_oi=9384942.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] IPUSDT | usage=365.06% | current_oi=2427657.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] IRYSUSDT | usage=5191.27% | current_oi=51912744.03 | limit=1000000.0 | threshold=95.00% | source=product.maxOI
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] JASMYUSDT | usage=41293.17% | current_oi=274599582.0 | limit=665000.0 | threshold=95.00% | source=leverageMargins[1015].items[-1].notionalValueRv
2026-03-19 20:01:34 | WARNING | OIScreener | 🚨 [LIMIT EXCEEDED] JCTUSDT | usage=85199.17% | current_oi=851991726.97 | limit=1000000.0 | threshold=95.00% | source=product.maxOI
